in_stock,name,price,price_raw,url,вес,вид_фанеры,длина,допуск_по_толщине,индекс_звукоизоляции,каталог,количество_листов_в_упаковке,модуль_упругости_по_главной_оси_длине,обработка_торцов,объём,плотность,площадь_листа_м2,поверхность,прочность_на_изгиб_по_главной_оси,сорт,состав_древесина,теплопроводность,тип,толщина,фанера_транспортная,формат,ширина
0,Фанера ламинированная 21мм 2440х1220мм сорт 1/1 сетка,3945.0,3 945,https://fanera-osb.ru/fanera/laminirovannaya/21mm-2440x1220mm-sort-1-1-setka/,40.6 кг,Ламинированная,2440 мм,"+0,8 -1,0 мм",23 дБ,Фанера,19,7000 МПа,обработаны краской,"0,063 куб.м.",650 кг/куб.м.,"2,98 кв.м.",рифленая (сетка),25 МПа,Сорт 1/1 сетка,береза,0.15 Вт/(м⋅К),,21 мм,Да,2440*1220 мм,1000 мм
0,Фанера ламинированная 9мм 2440х1220мм сорт 1/1 гладкая,2047.0,2 047,https://fanera-osb.ru/fanera/laminirovannaya/9mm-2440x1220mm-sort-1-1-gladkaya/,17.4 кг,Ламинированная,2440 мм,"+0,4 -0,6 мм",23 дБ,Фанера,44,7000 МПа,обработаны краской,"0,027 куб.м.",650 кг/куб.м.,"2,98 кв.м.",гладкая,25 МПа,Сорт 1/1 гладкая,береза,0.15 Вт/(м⋅К),,9 мм,,2440*1220 мм,1000 мм
0,Фанера облицованная HPL 21мм 2400х1200мм 2095-Дуб Флагстафф,11150.0,11 150,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/21mm-2440x1220mm_2095_dub_flagstaff/,41.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,060 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,21 мм,,2400*1200 мм,1200 мм
0,Фанера ламинированная 15мм 2440х1220мм сорт 1/2 гладкая,2640.0,2 640,https://fanera-osb.ru/fanera/laminirovannaya/15mm-2440x1220mm-sort-1-2-gladkaya/,29.0 кг,Ламинированная,2440 мм,"+0,6 -0,8 мм",23 дБ,Фанера,26,7000 МПа,обработаны краской,"0,045 куб.м.",650 кг/куб.м.,"2,98 кв.м.",гладкая,25 МПа,Сорт 1/2 гладкая,береза,0.15 Вт/(м⋅К),,15 мм,,2440*1220 мм,1000 мм
0,Фанера облицованная HPL 18мм 2400*1200мм 1023-Желтый,11300.0,11 300,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/18mm-2440x1220mm_1023_zheltyy/,37.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,052 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,18 мм,,2400*1200 мм,1200 мм
0,Фанера ламинированная 21мм 2440х1220мм сорт 1/1 гладкая,3125.0,3 125,https://fanera-osb.ru/fanera/laminirovannaya/21mm-2440x1220mm-sort-1-1-gladkaya/,40.6 кг,Ламинированная,2440 мм,"+0,8 -1,0 мм",23 дБ,Фанера,19,7000 МПа,обработаны краской,"0,063 куб.м.",650 кг/куб.м.,"2,98 кв.м.",гладкая,25 МПа,Сорт 1/1 гладкая,береза,0.15 Вт/(м⋅К),,21 мм,,2440*1220 мм,1000 мм
0,Фанера ламинированная 18мм 2500х1250мм сорт 1/1 сетка,3550.0,3 550,https://fanera-osb.ru/fanera/laminirovannaya/18mm-2500x1250mm-sort-1-1-setka/,41.6 кг,Ламинированная,2500 мм,"+0,7 -0,9 мм",23 дБ,Фанера,22,7000 МПа,обработаны краской,"0,056 куб.м.",650 кг/куб.м.,"3,13 кв.м.",рифленая (сетка),25 МПа,Сорт 1/1 сетка,береза,0.15 Вт/(м⋅К),,18 мм,Да,2500*1250 мм,1000 мм
0,Фанера ламинированная 21мм 2500х1250мм сорт 1/1 гладкая,3940.0,3 940,https://fanera-osb.ru/fanera/laminirovannaya/21mm-2500x1250mm-sort-1-1-gladkaya/,42.7 кг,Ламинированная,2500 мм,"+0,8 -1,0 мм",23 дБ,Фанера,19,7000 МПа,обработаны краской,"0,066 куб.м.",650 кг/куб.м.,"3,13 кв.м.",гладкая,25 МПа,Сорт 1/1 гладкая,береза,0.15 Вт/(м⋅К),,21 мм,,2500*1250 мм,1000 мм
0,Фанера облицованная HPL 6мм 2400х1200мм 1026-Желтый,10000.0,10 000,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/6mm-2440x1220mm_1026_zheltyy/,14.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,017 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,6 мм,,2400*1200 мм,1200 мм
0,Фанера облицованная HPL 18мм 2400х1200мм 1014-Серый,10550.0,10 550,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/18mm-2440x1220mm_2440kh1220mm_1014_seryy/,34.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,052 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,18 мм,,2400*1200 мм,1200 мм
